Type,Date,Authors,Title,Series,Research theme,Website sub-theme
J,Jan 2003,"White, Howard and Edoardo Masset",The Importance of Household Size and Composition When Constructing Poverty Profiles: An Illustration from Vietnam,Development and Change 34(1): 105-126,Dynamics,Poverty cycles
WP,Mar 2005,"Escobal, Javier, Jaime Saavedra and Pablo Suárez",Economic Shocks and Changes in School Attendance Levels and Education Expenditure in Peru,Young Lives Working Paper 13,Dynamics,Shocks; School and education
WP,May 2005,"Escobal, Javier, Sharon Huttly, Claudio F. Lanata, Mary E. Penny, Jaime Saavedra, Pablo Suárez and Eliana Villar","The Interaction of Public Assets, Private Assets and Community Characteristics and its Effect on Early Childhood Height-for-Age in Peru",Young Lives Working Paper 14,Dynamics,Poverty cycles
WP,May 2005,"Mooij, Jos","Reforms and Children: Issues and Hypotheses Regarding the Impacts of Reform Policies on the Welfare of Children in India, with Special Emphasis on Andhra Pradesh",Young Lives Working Paper 16,Dynamics,Social protection
WP,Jun 2005,"Escobal, Javier, Sharon Huttly, Claudio F. Lanata, Mary E. Penny, Pablo Suárez, and Eliana Villar",Does Having a Newborn Child Affect Income Diversification Opportunities? Evidence from the Peruvian Young Lives Study,Young Lives Working Paper 24,Dynamics,Poverty cycles
PB,Nov 2005,"Jones, Nicola and Paola Pereznieto",The Social Impacts of Trade Liberalisation: How Can Childhood Poverty Be Reduced?,Young Lives Policy Brief 1,Dynamics,Economic growth
SP,Dec 2005,"Aritomi, Tami",Exploring barriers to Peruvian mother’s labor force oarticipation: A multidisciplinary Multi-method Approach,"PhD Thesis, Penn State University, 2005",Dynamics,Livelihoods
WP,Sep 2006,"Abramsky, Tanya, Sharon Huttly, Nicola Jones and Minna Lyytikäinen","Childhood Poverty, Basic Services and Cumulative Disadvantage: An International Comparative Analysis",Young Lives Working Paper 33,Dynamics,Social protection
WP,Sep 2006,"Fenn, Bridget, S. Galab, Nicola Jones, D. Sree Rama Raju, Ian Wilson, and M. Gopinath Reddy",Livelihood Diversification in Rural Andhra Pradesh: Household Asset Portfolios and Implications for Poverty Reduction,Young Lives Working Paper 34,Dynamics,Livelihoods
J,Jan 2007,"De Silva, Mary J., Trudy Harpham, Sharon R. Huttly, Rosario Bartolini and Mary E Penny",Understanding Sources and Types of Social Capital in Peru,Community Development Journal 42(1): 19-33,Dynamics,Family and peer relationships
PB,May 2007,"Galab, S., Nicola Jones and Madhuri Mukherjee",Ripple Effects or Deliberate Intentions: Assessing Linkages Between Women’s Empowerment and Childhood Poverty,UNICEF India/Young Lives Social Policy Paper 2,Dynamics,
PB,May 2007,"Mayuri, K. Paola Pereznieto and M.Gopinath Reddy",Improving Child-focused Spending in Local Bodies in Andhra Pradesh: Constraints and Opportunities,UNICEF India /Young Lives Social Policy Paper 3,Dynamics,Social protection
PB,May 2007,"Jones, Nicola, Minna Lyytikäinen, Madhuri Mukherjee, and M. Gopinath Reddy",Local institutions and social policy for children: Opportunities and constraints of participatory service delivery,UNICEF India/Young Lives Social Policy Paper 1,Dynamics,Social protection
J,Sep 2007,"Jones, Nicola, Minna Lyytikainen, Madhuri Mukherjee and M. Gopinath Reddy",Decentralisation and Participatory Service Delivery,Journal of Children and Poverty 13(2): 207-229,Dynamics,Social protection
WP,Nov 2007,"Escobal, Javier and Carmen Ponce",Trade Liberalisation and Child Welfare: Assessing the Impact of a Free Trade Agreement between Peru and the USA,Young Lives Working Paper 36,Dynamics,Economic growth
WP,Nov 2007,"Jones, Nicola, Nguyen Ngoc Anh and Nguyen Thu Hang",Trade Liberalisation and Intra-household Poverty in Vietnam: a Q2 Social Impact Analysis,Q-Squared Working Paper 46,Dynamics,Economic growth
PB,Nov 2007,"Jones, Nicola, Paola Pereznieto and Eliana Villar",Trade Liberalisation and Child Well-being: potential impacts of the Peru-US free trade agreement,Young Lives Policy Brief 3,Dynamics,Economic growth
PB,Dec 2007,"Escobal, Javier",Trade Liberalisation and Children: Understanding and Coping with Children’s Vulnerabilities,IFPRI: 2020 Focus Brief,Dynamics,Economic growth
PB,Sep 2008,"Dercon, Stefan and Alan Sanchez",Children and the Food Price Crisis,Young Lives Policy Brief 5,Dynamics,Shocks
PB,Sep 2008,"Woldehanna, Tassew and Jennifer Yablonski",Impacts of Social Protection Programmes in Ethiopia on Child Work and Education,Young Lives Policy Brief 6,Dynamics,Social protection
J,Oct 2008,"Jones, Nicola, Anh Nguyen Ngoc and Hang Nguyen Thu",Trade Liberalisation and Childhood Poverty in Vietnam : A Q-squared Social Impact Analysis,International Journal of Multiple Research Approaches 2(2): 266-82,Dynamics,Economic growth
SP,Nov 2008,"Singh, Abhijeet",Do School Meals Work? Treatment Evaluation of the Midday Meal Scheme in India,"Young Lives Student Paper (thesis for MSc in Economics for Development, University of Oxford)",Dynamics; Children's experiences,Social protection; Health and nutrition
WP,Jan 2009,"Woldehanna, Tassew",Productive Safety Net Programme and Children’s Time Use between Work and Schooling in Ethiopia,Young Lives Working Paper 40,Dynamics,Social protection
SP,May 2009,"Uppal, Vinayak",Is the NREGS a Safety Net for Children? Studying access to the National Rural Employment Guarantee Scheme for Young Lives families and its impact on child outcomes in Andhra Pradesh,"Young Lives Student Paper (thesis for MSc in Economics for Development, University of Oxford)",Dynamics,Social protection
SP,Jun 2009,"Lees, Christina",The Nature of Migration and Its Impact on Families in Peru,"Young Lives Student Paper (thesis for MSc in Economics for Development, University of Oxford)",Dynamics,Social protection
WP,Jul 2009,"Cueto, Santiago, Gabriela Guerrero, Juan Leon, Alvaro Zevallos and Claudia Sugimaru",Promoting Early Childhood Development through a Public Programme: Wawa Wasi in Peru,Young Lives Working Paper 51,Dynamics,Social protection
WP,Oct 2009,"Escobal, Javier and Eva Flores",Maternal Migration and Child Well-being in Peru,Young Lives Working Paper 56,Dynamics,Migration
PB,Jan 2010,"Alcazar, Lorena",Public Spending and Children: Analysis of the Juntos Programme and the Services Associated with its Conditionalities,Policy paper (in Spanish),Dynamics,Social protection
PB,Jan 2010,"Guerrero, Gabriela and Claudia Sugimaru",Opportunities and Risks in the Transfer of the Wawa Wasi Programme to Provincial Municipalities,Policy paper (in Spanish),Dynamics,Social protection
WP,Jun 2010,"Woldehanna, Tassew",Do Pre-natal and Post-natal Economic Shocks Have a Long-lasting Effect on the Height of 5-year-old Children?: Evidence from 20 Sentinel Sites of Rural and Urban Ethiopia,Young Lives Working Paper 60,Dynamics,Health and nutrition; shocks
WP,Jun 2010,"Barnett, Inka and Bekele Tefere",Poor Households’ Experiences and Perception of User Fees for Healthcare: a mixed-method study from Ethiopia,Young Lives Working Paper 59,Dynamics,Access to services
PB,Aug 2010,"Porter, Caitlin, Ajay Sinha and Abhijeet Singh",The Impact of the Midday Meal Scheme on Nutrition and Learning,Young Lives Policy Brief 8,Dynamics,Social protection; Health and nutrition
PB,Sep 2010,"Brock, Karen",The Impact of Social Protection on Children,Young Lives Policy Brief 10,Dynamics,Social protection
PB,Sep 2010,"Porter, Catherine and Paul Dornan","Social Protection and Children: A Synthesis of Evidence from Young Lives Longitudinal Research in Ethiopia, India and Peru",Young Lives Policy Paper 1,Dynamics,Social protection
PB,Sep 2010,"Dornan, Paul",Children and the Millennium Development Goals: Fragile Gains and Deep Inequalities,Young Lives Policy Paper 2,Dynamics,Policy
J,Oct 2010,"Le Thuc, Duc",Child Poverty in Selection of Investment Policies for Economic Development of Viet Nam,Journal of Economic Studies 10.389: 10-18,Dynamics,Policy
PB,Nov 2010,"Brock, Karen",Progress Towards the MDGs? Fragile Gains and Deep Inequalities,Young Lives Policy Brief 11,Dynamics,Policy
WP,Dec 2010,"Vennam, Uma and Gina Crivello and Hymavathi Kongara","Children’s Perspectives on Risk and Vulnerability in Contexts of Poverty and Change: Findings from Andhra Pradesh, India",Young Lives Working Paper 64,Dynamics,Children's views
PP,Dec 2010,"Dornan, Paul",Understanding the Impacts of Crisis on Children in Developing Countries,Young Lives Round 3 Preliminary Findings,Dynamics,Shocks
WP,Jan 2011,Laura and Uma,NREGS: Child-friendly and Sustainable?,,Dynamics,social protection
WP,Jan 2011,"Escobal, Javier",Inequalities of Opportunity in Peru,,Dynamics,Poverty cycles
WP,Jan 2011,"Streuli, Natalia",Children's Perceptions of Well-being and Perceptions of Juntos,,Dynamics,Social protection
